Portfolio,Open,High,Low,Close,Adj Close,Volume
Bitcoin,1932619995,2230489990,1932619995,2228409912,2228409912,1201760000
Bitcoin,2233520020,2387610107,2164770020,2318879883,2318879883,1512450048
Bitcoin,2323080078,2397169922,2260229980,2273429932,2273429932,1245100032
Bitcoin,2269889893,2900699951,2269889893,2817600098,2817600098,2249260032
Bitcoin,2808100098,2832179932,2653939941,2730399902,2730399902,1072840000
Bitcoin,2732699951,2777260010,2699189941,2754860107,2754860107,866473984
Bitcoin,2757500000,2768080078,2480959961,2576479980,2576479980,1460089984
Bitcoin,2577770020,2610760010,2450800049,2529449951,2529449951,937404032
Bitcoin,2538709961,2693320068,2529340088,2671780029,2671780029,789104000
Bitcoin,2724389893,2758530029,2644850098,2757179932,2757179932,705942976
Bitcoin,2763239990,2889620117,2720610107,2875340088,2875340088,860574976
Bitcoin,2871300049,2921350098,2685610107,2718260010,2718260010,1324669952
Bitcoin,2727129883,2762530029,2668590088,2710669922,2710669922,1094950016
Bitcoin,2709560059,2813310059,2685139893,2804729980,2804729980,804796992
Bitcoin,3257610107,3293290039,3155600098,3213939941,3213939941,1105030016
Bitcoin,3212780029,3397679932,3180889893,3378939941,3378939941,1482279936
Bitcoin,3370219971,3484850098,3345830078,3419939941,3419939941,1752760064
Bitcoin,3420399902,3422760010,3247669922,3342469971,3342469971,1468960000
Bitcoin,3341840088,3453449951,3319469971,3381280029,3381280029,1515110016
Bitcoin,3880040039,4208390137,3857800049,4073260010,4073260010,3159089920
Bitcoin,4066100098,4325129883,3989159912,4325129883,4325129883,2463089920
Bitcoin,4326990234,4455970215,3906179932,4181930176,4181930176,3258050048
Bitcoin,4200339844,4381229980,3994419922,4376629883,4376629883,2272039936
Bitcoin,4384439941,4484700195,4243709961,4331689941,4331689941,2553359872
Bitcoin,4189310059,4196290039,4069879883,4087659912,4087659912,2109769984
Bitcoin,4090479980,4109140137,3988600098,4001739990,4001739990,2800890112
Bitcoin,3998350098,4128759766,3674580078,4100520020,4100520020,3764239872
Bitcoin,4089010010,4255779785,4078409912,4151520020,4151520020,2369819904
Bitcoin,4137600098,4376390137,4130259766,4334680176,4334680176,2037750016
Bitcoin,4345100098,4416589844,4317290039,4382879883,4382879883,1537459968
Bitcoin,4384450195,4403930176,4224640137,4382660156,4382660156,1959330048
Bitcoin,4389209961,4625680176,4352129883,4579020020,4579020020,2486080000
Bitcoin,4570359863,4626520020,4471410156,4565299805,4565299805,1937849984
Bitcoin,4555589844,4736049805,4549399902,4703390137,4703390137,1944930048
Bitcoin,4591629883,4591629883,4108399902,4236310059,4236310059,2987330048
Bitcoin,4228290039,4427839844,3998110107,4376529785,4376529785,2697969920
Bitcoin,4376589844,4617250000,4376589844,4597120117,4597120117,2172100096
Bitcoin,4589140137,4655040039,4491330078,4599879883,4599879883,1844620032
Bitcoin,4229339844,4245439941,3951040039,4122939941,4122939941,1679090048
Bitcoin,4122470215,4261669922,4099399902,4161270020,4161270020,1557330048
Bitcoin,4168879883,4344649902,4085219971,4130810059,4130810059,1864530048
Bitcoin,4131979980,4131979980,3789919922,3882590088,3882590088,2219409920
Bitcoin,3875370117,3920600098,3153860107,3154949951,3154949951,2716310016
Bitcoin,3606280029,3664810059,3445639893,3582879883,3582879883,1239149952
