Currency;Country;Label;Value
AED;Emiratos Árabes Unidos;12-9-2015;23.86
AED;Emiratos Árabes Unidos;19-9-2015;11.84
AED;Emiratos Árabes Unidos;26-9-2015;18.01
AED;Emiratos Árabes Unidos;3-10-2015;5.5
AED;Emiratos Árabes Unidos;10-10-2015;1.66
AED;Emiratos Árabes Unidos;17-10-2015;6.31
AED;Emiratos Árabes Unidos;24-10-2015;13.2
AED;Emiratos Árabes Unidos;31-10-2015;71.55
AED;Emiratos Árabes Unidos;7-11-2015;19.41
AED;Emiratos Árabes Unidos;14-11-2015;53.97
AED;Emiratos Árabes Unidos;21-11-2015;98.41
AED;Emiratos Árabes Unidos;28-11-2015;191.16
AED;Emiratos Árabes Unidos;5-12-2015;59.69
AED;Emiratos Árabes Unidos;12-12-2015;22.32
AED;Emiratos Árabes Unidos;19-12-2015;21.78
AED;Emiratos Árabes Unidos;26-12-2015;19.38
AED;Emiratos Árabes Unidos;2-1-2016;17
AED;Emiratos Árabes Unidos;9-1-2016;16.48
AED;Emiratos Árabes Unidos;16-1-2016;69.99
AED;Emiratos Árabes Unidos;23-1-2016;9.9
AED;Emiratos Árabes Unidos;30-1-2016;26.96
AED;Emiratos Árabes Unidos;6-2-2016;17.15
AED;Emiratos Árabes Unidos;13-2-2016;46.3
AED;Emiratos Árabes Unidos;20-2-2016;58.69
AED;Emiratos Árabes Unidos;27-2-2016;101.85
AED;Emiratos Árabes Unidos;5-3-2016;38.21
AED;Emiratos Árabes Unidos;12-3-2016;48.11
AED;Emiratos Árabes Unidos;19-3-2016;36.96
AED;Emiratos Árabes Unidos;26-3-2016;30.16
AED;Emiratos Árabes Unidos;2-4-2016;330.52
AED;Emiratos Árabes Unidos;9-4-2016;530.04
AED;Emiratos Árabes Unidos;16-4-2016;42.36
AED;Emiratos Árabes Unidos;23-4-2016;44.75
AED;Emiratos Árabes Unidos;30-4-2016;136.26
AED;Emiratos Árabes Unidos;7-5-2016;73.64
AED;Emiratos Árabes Unidos;14-5-2016;87.29
AED;Emiratos Árabes Unidos;21-5-2016;77.2
AED;Emiratos Árabes Unidos;28-5-2016;118.53
AED;Emiratos Árabes Unidos;4-6-2016;246.54
AED;Emiratos Árabes Unidos;11-6-2016;215.28
