,Currency,Country,Label,Value,Year
473,ARS,Argentina,2013-12-14,39.74,2013
10742,MAD,Marruecos,2013-12-14,0.0,2013
4018,CZK,República Checa,2013-12-14,22.58,2013
3570,COP,Colombia,2013-12-14,5.17,2013
2706,CLP,Chile,2013-12-14,14.59,2013
8329,INR,India,2013-12-14,33.35,2013
17309,THB,Tailandia,2013-12-14,137.83,2013
2276,CHF,Suiza,2013-12-14,36.94,2013
12499,NOK,Noruega,2013-12-14,15.12,2013
17738,TRY,Turquia,2013-12-14,2.43,2013
7435,HUF,Hungria,2013-12-14,5.43,2013
16408,SEK,Suecia,2013-12-14,21.99,2013
7867,IDR,Indonesia,2013-09-28,0.0,2013
15082,RON,Rumanía,2013-07-09,4.44,2013
11621,MYR,Malasia,2013-12-14,13.49,2013
1348,BRL,Brasil,2013-08-06,30.61,2013
4004,CZK,República Checa,2013-07-09,20.25,2013
4451,DKK,Dinamarca,2013-07-09,9.72,2013
11170,MXN,México,2013-07-09,3.8,2013
7860,IDR,Indonesia,2013-10-08,0.0,2013
6,AED,Emiratos Árabes Unidos,2013-10-08,0.0,2013
11166,MXN,México,2013-10-08,2.1,2013
15096,RON,Rumanía,2013-12-14,14.98,2013
910,AUD,Australia,2013-07-09,1589.66,2013
17723,TRY,Turquia,2013-07-09,0.76,2013
3985,CZK,República Checa,2013-04-27,2.03,2013
17295,THB,Tailandia,2013-07-09,216.48,2013
1827,CAD,Canadá,2013-12-14,184.28,2013
25,AED,Emiratos Árabes Unidos,2013-12-14,17.63,2013
13804,PHP,Filipinas,2013-12-14,29.33,2013
5684,EUR,Europa,2013-12-14,610.96,2013
16394,SEK,Suecia,2013-07-09,85.96,2013
1356,BRL,Brasil,2013-03-08,19.58,2013
15092,RON,Rumanía,2013-11-16,36.84,2013
3566,COP,Colombia,2013-11-16,3.15,2013
3552,COP,Colombia,2013-10-08,0.0,2013
15078,RON,Rumanía,2013-10-08,10.17,2013
9966,KRW,Corea del Sur,2013-10-08,60.0,2013
17305,THB,Tailandia,2013-11-16,96.48,2013
6585,HKD,Hong Kong,2013-12-14,76.56,2013
9137,JPY,Japón,2013-12-14,5.89,2013
19974,ZAR,Sudáfrica,2013-07-09,58.77,2013
15532,RUB,Rusia,2013-07-09,3.05,2013
6571,HKD,Hong Kong,2013-07-09,41.74,2013
18504,UAH,Ucrania,2013-07-09,0.0,2013
8311,INR,India,2013-10-08,3.87,2013
455,ARS,Argentina,2013-10-08,20.75,2013
4000,CZK,República Checa,2013-10-08,5.71,2013
13786,PHP,Filipinas,2013-10-08,0.0,2013
19970,ZAR,Sudáfrica,2013-10-08,32.11,2013
2260,CHF,Suiza,2013-08-24,6.76,2013
4447,DKK,Dinamarca,2013-10-08,5.0,2013
6136,GBP,Reino Unido,2013-12-14,2269.89,2013
16841,SGD,Singapur,2013-10-08,0.32,2013
6551,HKD,Hong Kong,2013-04-20,7.98,2013
12933,NZD,Nueva Zelanda,2013-10-08,33.25,2013
9119,JPY,Japón,2013-10-08,0.4,2013
2258,CHF,Suiza,2013-10-08,9.3,2013
11603,MYR,Malasia,2013-10-08,0.0,2013
6567,HKD,Hong Kong,2013-10-08,1.79,2013
14626,PLN,Polonia,2013-10-08,9.94,2013
9123,JPY,Japón,2013-07-09,0.0,2013
6558,HKD,Hong Kong,2013-08-06,12.98,2013
17740,TRY,Turquia,2013-12-28,0.38,2013
15542,RUB,Rusia,2013-11-16,1.47,2013
11180,MXN,México,2013-11-16,62.01,2013
12935,NZD,Nueva Zelanda,2013-08-24,37.21,2013
9968,KRW,Corea del Sur,2013-08-24,4.1081,2013
908,AUD,Australia,2013-08-24,1157.25,2013
17291,THB,Tailandia,2013-10-08,173.03,2013
15080,RON,Rumanía,2013-08-24,18.52,2013
12483,NOK,Noruega,2013-08-24,61.87,2013
6120,GBP,Reino Unido,2013-08-24,4383.4,2013
18937,USD,Estados Unidos,2013-04-20,367.07,2013
457,ARS,Argentina,2013-08-24,24.86,2013
7017,HRK,Croacia,2013-08-24,0.79,2013
13798,PHP,Filipinas,2013-02-11,4.98,2013
7027,HRK,Croacia,2013-02-11,2.15,2013
5678,EUR,Europa,2013-02-11,1118.85,2013
4012,CZK,República Checa,2013-02-11,10.1,2013
18965,USD,Estados Unidos,2013-02-11,5339.41,2013
17282,THB,Tailandia,2013-08-06,89.48,2013
7862,IDR,Indonesia,2013-08-24,0.0,2013
19961,ZAR,Sudáfrica,2013-08-06,4.27,2013
8,AED,Emiratos Árabes Unidos,2013-08-24,0.0,2013
4449,DKK,Dinamarca,2013-08-24,0.0,2013
11605,MYR,Malasia,2013-08-24,5.29,2013
15530,RUB,Rusia,2013-08-24,2.6,2013
18955,USD,Estados Unidos,2013-08-24,6967.37,2013
6569,HKD,Hong Kong,2013-08-24,17.46,2013
5668,EUR,Europa,2013-08-24,1068.98,2013
14628,PLN,Polonia,2013-08-24,2.52,2013
15512,RUB,Rusia,2013-04-20,0.0,2013
1793,CAD,Canadá,2013-04-20,61.59,2013
6999,HRK,Croacia,2013-04-20,0.0,2013
17275,THB,Tailandia,2013-04-20,1.0,2013
13770,PHP,Filipinas,2013-04-20,0.0,2013
11150,MXN,México,2013-04-20,0.0,2013
16392,SEK,Suecia,2013-08-24,101.54,2013
6118,GBP,Reino Unido,2013-10-08,3232.85,2013
1357,BRL,Brasil,2013-10-08,52.42,2013
11168,MXN,México,2013-08-24,6.59,2013
17293,THB,Tailandia,2013-08-24,34.88,2013
13788,PHP,Filipinas,2013-08-24,5.2,2013
3119,CNY,China,2013-08-24,2.44,2013
18502,UAH,Ucrania,2013-08-24,1.0,2013
19972,ZAR,Sudáfrica,2013-08-24,32.43,2013
16843,SGD,Singapur,2013-08-24,3.01,2013
4465,DKK,Dinamarca,2013-12-14,0.54,2013
15098,RON,Rumanía,2013-12-28,2.82,2013
15069,RON,Rumanía,2013-08-06,8.0,2013
3559,COP,Colombia,2013-09-28,0.0,2013
1800,CAD,Canadá,2013-08-06,22.39,2013
14644,PLN,Polonia,2013-12-14,5.27,2013
8323,INR,India,2013-02-11,5.29,2013
3572,COP,Colombia,2013-12-28,1.14,2013
12050,NGN,Nigeria,2013-12-28,0.09,2013
9555,KES,Kenia,2013-12-28,0.06,2013
5686,EUR,Europa,2013-12-28,499.6,2013
4020,CZK,República Checa,2013-12-28,4.28,2013
18973,USD,Estados Unidos,2013-12-28,1623.02,2013
